Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,순위점수 + 톱랭킹포인트*10,순위점수 + 톱랭킹포인트,순위점수 + WAR
,,,,,a,b,,,c,a + (round(b)*10),a + round(b/10)*10,a + (c*1000)
rank,톱랭킹 Rank,선수명,구단,포지션,순위 점수,톱랭킹 포인트,기본 점수,승리 기여도,WAR,1안,2안,3안(FIX)
1,2,김도영,KIA,타자,299000,2088.72,1510.7,578.02,8.75,319890,301090,307750
2,1,로하스,KT,타자,300000,2093.94,1465.7,628.24,7.25,320940,302090,307250
3,1,하트,NC,투수,300000,1601.85,1392.6,209.25,6.26,316020,301600,306260
4,3,구자욱,삼성,타자,298000,2019.51,1420.8,598.71,6.19,318200,300020,304190
5,3,후라도,키움,투수,298000,1349.22,1209.2,140.02,6.1,311490,299350,304100
6,4,송성문,키움,타자,297000,1780.09,1232.1,547.99,6.77,314800,298780,303770
7,4,원태인,삼성,투수,297000,1191.55,1046,145.55,4.97,308920,298190,301970
8,2,박영현,KT,투수,299000,1449.36,1146.4,302.96,2.44,313490,300450,301440
9,5,코너,삼성,투수,296000,1188.91,1023.2,165.71,4.92,307890,297190,300920
10,6,오스틴,LG,타자,295000,1742.11,1419.6,322.51,5.65,312420,296740,300650
11,8,윌커슨,롯데,투수,293000,1143.56,1121.7,21.86,7.38,304440,294140,300380
12,5,레이예스,롯데,타자,296000,1776.73,1197.7,579.03,3.69,313770,297780,299690
13,7,에레디아,SSG,타자,294000,1729.3,1250.9,478.4,4.88,311290,295730,298880
14,9,반즈,롯데,투수,292000,1107.12,935.8,171.32,6.78,303070,293110,298780
15,6,노경은,SSG,투수,295000,1181.53,996.4,185.13,3.1,306820,296180,298100
16,8,데이비슨,NC,타자,293000,1579.71,1231.5,348.21,4.29,308800,294580,297290
17,7,주현상,한화,투수,294000,1170.48,1069.5,100.98,3.16,305700,295170,297160
18,9,최정,SSG,타자,292000,1576.56,1205.6,370.96,4.51,307770,293580,296510
19,11,홍창기,LG,타자,290000,1392.5,978.9,413.6,6.37,303930,291390,296370
20,10,네일,KIA,투수,291000,1088.17,951.6,136.57,5,301880,292090,296000
21,11,곽빈,두산,투수,290000,1022.4,936,86.4,4.65,300220,291020,294650
22,10,최형우,KIA,타자,291000,1470.55,1062,408.55,2.1,305710,292470,293100
